vardekod,vardebenamning
434,UTBILDNING FÖR INDUSTRI OCH HANTVERK VID GYMNASIESKOLA (GYMNASIELINJE ELLER SPECIALKURS SP)/KOMVUX/AMU
435,PRAKTISK/TEKNISK UTBILDNING (YRKESTEORETISK UTBILDNING)
436,"TEKNIKERKURS VID TEKNISK SKOLA, TEKNISKT INSTITUT ELLER MOTSV"
437,"2-ÅRIG TEKNISK LINJE I GYMNASIE SKOLAN.  FACKSKOLAN, TEKNISK LINJE."
438,ANNAN HÖGST 2-ÅRIG HITHÖRANDE UTBILDNING
439,OSPECIFICERAD HÖGST 2-ÅRIG HIT HÖRANDE UTBILDNING
440,"AVGÅNGSBETYG 3 FRÅN KOMMUNAL VUXEN-UTBILDNING, KOMVUX."
441,INDUSTRIELL CIVIL VERKSUTBILDNING
442,YRKESFÖRBEREDANDE TEKNISKA PROGRAM (naturvet.programmets tekniska gren kodas på 4476)
443,TEKNISK OCH NATURVETENSKAPLIG VERKSUTBILDNING
444,YRKESUTBILDNING FÖR INDUSTRI OCH HANTVERK
445,PRAKTISK/TEKNISK UTBILDNING (YRKES-TEORETISK UTBILDNING)
446,"INGENJÖRSUTBILDNING/HÖGRE FACK KURS VID TEKNISK SKOLA, TEKNISKT INSTITUT, TEKNISK AFTONSKOLA, FACK-INGENJÖR (HERMODS-NKI) OCH MOT SVARANDE"
447,"GYMNASIESKOLA OCH GYMNASIUM TEKNISK LINJE/GREN, TEKN GYMN.UTBILDNING ENL ÄLDRE STADGA INKL TEKN FACKSKOLA VID FD HÖGRE TEKN LÄROVERK, SPECIAL KURS VID TEKN GYMNASIUM, SÄRSKILD TEKN KURS FÖR STUD ENTER OCH HÖGRE FACKINGENJÖR (HERMODS-NKI) SAMT UTBILDNING V"
448,ANNAN HITHÖRANDE UTBILDNING LÄNGRE ÄN 2 ÅR
449,OSPECIFICERAD HITHÖRANDE UTBILD NING
450,"AVGÅNGSBETYG 4 FRÅN KOMMUNAL VUXEN-UTBILDNING, KOMVUX."
451,DRIFTSTEKNISK UTBILDNING
452,NATURVETENSKAPLIG CIVIL VERKS UTBILDNING
453,TEKNISK CIVIL VERKSUTBILDNING
454,"YRKESTEKNISK HÖGSKOLEUTBILDN.(YTH).INDUSTRIELL TEKNIK-LINJEN (ITL). YRKESTEKNISK HÖGSKOLEEXAMEN. (Se också koderna 35562,35702,45515 45555 och 45576)"
455,"PRAKTISK/TEKNISK UTBILDNING Arbetsledarutbildning, teknisk vidareoch arbetsledarutbildning"
456,HÖGSKOLEEXAMEN
457,"4-ÅRIG TEKNISK LINJE I GYMNASIE SKOLAN (T) OCH GYMNASIUM, TEKNISK LINJE, 4-ÅRIG UTBILDNING"
458,INGENJÖRSUTBILDNING (Högskoleutbildning mindre än 120 poäng)
459,ANNAN ELLER OSPEC. HITHÖRANDE UTBILDNING KORTARE ÄN 3 ÅR
461,"INGENJÖRSUTBILDNING VID HÖGSKOLA, minst 120 poäng.  (Tekn.kand kodas på 4667) (Civilingenjörsutb kodas på 464) ANNAN HÖGRE TEKNISK-INDUSTRIELL UTBILDNING."
462,LINJEUTBILDNING MED NATURVETEN SKAPLIG INRIKTNING ELLER MOTSV.  MATAMATISK-NATURVETENSKAPLIG LINJE
463,TEKNISK CIVIL VERKSUTBILDNING
464,"CIVILINGENJÖRSUTBILDNING INKL ARKITEKT-, MEJERIOCH LANTBRUKSINGENJÖRSUTBILDNING"
465,HUSHÅLLSKANDIDATUTBILDNING Utbildning vid Nordiska Hushållshögskolan
466,KANDIDATEXAMEN F.O.M. 1993 samt FIL KAND MED FÖRDJUPNINGSÄMNE F.O.M. 1985 (kod 4666-4668). ÄLDRE FIL KAND-UTB (kod 4660-4663).ÄLDRE UTBILDNING MED NATURVET TENSKAPLIG INRIKTNING ELLER MOTSV.
467,"MAGISTEREXAMEN, F.O.M. 1993 (kod 4674-4676)  ÄLDRE FIL MAG-UTB (kod 4670-4673)"
468,ANNAN HITHÖRANDE UTBILDNING 3 ÅR ELLER LÄNGRE
469,OSPECIFICERAD HITHÖRANDE UTBILD NING 3 ÅR ELLER LÄNGRE
471,TEKN LIC UTBILDNING
472,TEKN DOKTORSGRAD ENL ÄLDRE SYSTEM
473,FIL LIC UTBILDNING
474,FIL DOKTORSGRAD ENL ÄLDRE SYSTEM
475,TEKN DOKTORSEXAMEN ENL NYA SYSTEMET FR O M 1969
476,FIL DOKTORSEXAMEN ENL NYA SYSTEMET FR O M 1969
478,ANNAN HITHÖRANDE UTBILDNING
479,OSPECIFICERAD HITHÖRANDE FORSKARUTBILDNING
499,OSPECIFICERAD UTBILDNING FÖR INDUSTRI OCH HANTVERK SAMT TEKNISK OCH NATURVETENSKAPLIG UTBILDNING
530,UTBILDNING FÖR TRANSPORT OCH KOMMUNIKATION
531,UTBILDNING FÖR SJÖFART Utbildning ges vid gymnasieskolan
532,UTBILDNING FÖR LUFTFART
533,UTBILDNING FÖR JÄRNVÄGSTRAFIK INKL LOKALBANETRAFIK
534,UTBILDNING FÖR VÄGTRAFIK  Utbildning ges vid bl a gymnasieskola
535,UTBILDNING FÖR POSTBEFORDRAN Utbildning sker internt inom postverket
536,UTBILDNING FÖR TELEKOMMUNIKA TION  Utbildning sker bl a internt inom Televerket
538,ANNAN HÖGST 2-ÅRIG HITHÖRANDE UTBILDNING
539,OSPECIFICERAD HÖGST 2-ÅRIG HIT HÖRANDE UTBILDNING
540,UTBILDNING FÖR TRANSPORTTEKNIK
541,UTBILDNING FÖR SJÖFART
542,UTBILDNING FÖR LUFTFART
543,UTBILDNING FÖR JÄRNVÄGSTRAFIK INKL LOKALBANETRAFIK
544,UTBILDNING FÖR VÄGTRAFIK
545,UTBILDNING FÖR POSTBEFORDRAN Utbildning för postbehandlings området
546,UTBILDNING FÖR TELEKOMMUNIKATION
548,ANNAN HITHÖRANDE UTBILDNING LÄNGRE ÄN 2 ÅR
549,OSPECIFICERAD HITHÖRANDE UTBILDNINGLÄNGRE ÄN 2 ÅR
551,SJÖBEFÄLSUTBILDNING
552,UTBILDNING FÖR LUFTFART Utbildning genom bl a flygbolag
