code,label,label_en,parent_code,valid_from,valid_to
099E,Annan uretrit som ej orsakas av gonokocker,,,,
099W,Andra specificerade veneriska sjukdomar,,,,
099X,"Andra veneriska sjukdomar, ospecificerade",,,,
100A,Leptospirosis icterohemorrhagica,,,,
100W,Annan specificerad leptospiros,,,,
100X,"Leptospiros, ospecificerad",,,,
101X,Vincents angina,,,,
102X,Yaws,,,,
103X,Pinta,,,,
104X,Andra spiroketinfektioner,,,,
110A,Dermatofytos i hårbottnen och skäggbottnen,,,,
110B,Dermatofytos i nagel,,,,
110C,Dermatofytos i hand,,,,
110D,Dermatofytos i ljumske och perianalt,,,,
110E,Dermatofytos på fot,,,,
110F,Dermatofytos på bålen,,,,
110G,Djup dermatofytos,,,,
110W,Dermatofytos med annan lokalisation än 110A-G,,,,
110X,Dermatofytos med icke specificerad lokalisation,,,,
111A,Pityriasis versicolor,,,,
111B,Tinea nigra,,,,
111C,Tinea blanca,,,,
111D,Svart piedra,,,,
111W,Annan specificerad dermatomykos,,,,
111X,"Dermatomykos, ospecificerad",,,,
112A,Candidainfektion i munnen,,,,
112B,Candidainfektion i vulva och vagina,,,,
112C,Candidainfektion i andra urogenitalorgan,,,,
112D,Candidainfektion i hud och naglar,,,,
112E,Candidainfektion i lunga,,,,
112F,Disseminerad candidainfektion,,,,
112W,Candidainfektion med annan lokalisation än 112A-F,,,,
112X,Candidainfektion med icke specificerad lokalisation,,,,
114X,Koccidioidomykos,,,,
115X,Histoplasmos,,,,
116A,Blastomykos,,,,
116B,Parakoccidioidomykos,,,,
116C,Lobomykos,,,,
117D,Aspergillos,,,,
117E,Mykotiskt mycetom,,,,
117F,Kryptokockos,,,,
117X,Annan och ospecificerad mykos,,,,
118X,Opportunistisk mykos,,,,
120A,Infektion med Schistosoma haemotobium,,,,
120B,Infektion med Schistosoma mansoni,,,,
120C,Infektion med Schistosoma japonicum,,,,
120D,Hudschistosomiasis,,,,
120W,Annan specificerad schistosomiasis än 120A-D,,,,
120X,"Schistosomiasis, ospecificerad",,,,
121A,Opisthorchiasis,,,,
121B,Clonorchiasis,,,,
121C,Paragonimiasis,,,,
121D,Fascioliasis,,,,
121E,Fasciolopsiasis,,,,
121F,Metagonimiasis,,,,
121G,Heterophyiasis,,,,
121W,Annan specificerad trematodinfektion,,,,
121X,"Annan trematodinfektion, ospecificerad",,,,
122A,Echinococcus granulosus-infektion i levern,,,,
122B,Echinococcus granulosus-infektion i lunga,,,,
122C,Echinococcus granulosus-infektion i tyreoidea,,,,
122D,Echinococcus granulosus-infektion med ann lokalisation,,,,
122E,"Echinococcus granulosus-infektion, ospecificerad",,,,
122F,Echinococcus multilocularis-infektion i levern,,,,
122G,Echinococcus multilocularis-infektion med annan lokalis,,,,
122H,"Echinococcus multilocularis-infektion, ospecificerad",,,,
122W,"Echinokockos i levern, ospecificerad",,,,
122X,"Echinokockos, annan än 122A-W och ospecificerad",,,,
